project,codigo,fecha_encuesta,nombre_del_evaluador,genero_del_evaluador,interview_modality,nacionalidad,gender,follow_up,hh_language,document,interview_language,children,seniors,dependents,adults,time_in_country,date_of_arrival,d1a_housing_score,d1b_rent_score,d2_food_score,d3_education_score,d4_healthcare_score,d5_health_status_score,d6_safety_score,d7_employment_score,d8_fin_resources_score,d9_assistance_score,d10_debt_score,d11_savings_score,d12a_fin_soc_cap_score,d12b_rel_soc_cap_score,d12_average_score,group_a_total_score,d2_weighted_score,d5_weighted_score,d9_weighted_score,group_b_total_score,hh_sri_total_score,uuid,program_type,count,position,days_since_pre,measure_prop,in_program
prm,ec0016930,2022-01-18T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Pasaporte,Español,2,0,2,2,< 1 Year,2018-06-14T00:00:00Z,5,5,3,5,1,3,3,5,5,3,3,1,1,3,2,3.5,0.3,0,0.4,0.7,2.8,f3e12a40-7ac9-4013-a543-dc85246e89ac,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0016930,2022-04-29T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Visa de Unasur,Español,2,0,2,2,< 1 Year,2018-06-14T00:00:00Z,5,5,5,5,5,3,5,4,5,3,5,3,1,5,3,4.5,0,0,0.4,0.4,4.1,6ff4f6c5-bcc3-4740-8594-19761fa7e67b,MDG SESP con enfoque de género,2,2,101,1,TRUE
prm,ec0018313,2022-02-14T00:00:00Z,olga herrera,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,4,1 - 3 Years,2021-03-16T00:00:00Z,4,1,5,5,3,2,3,2,5,5,3,1,1,3,2,2.9,0,0.1,0,0.1,2.8,b2f4e620-a977-4344-9461-11b36b018650,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0018313,2022-04-18T00:00:00Z,olga herrera,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,5,3 - 5 Years,2018-08-20T00:00:00Z,5,3,5,5,3,3,3,2,5,3,5,3,5,5,5,3.9,0,0,0.4,0.4,3.5,16565bae-098a-408b-9849-c3b00ba28cdd,MDG SESP con enfoque de género,2,2,63,1,TRUE
prm,ec0021337,2022-01-28T00:00:00Z,darlin alejandro alonzo veliz,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,0,0,0,2,1 - 3 Years,2022-01-28T00:00:00Z,4,1,3,0,3,1,5,2,3,5,3,3,5,3,4,3.111111111111111,0.3,0.2,0,0.5,2.611111111111111,f0dd7dc9-6b3a-41ac-a40c-c2d9cb2d66e1,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0021337,2022-04-27T00:00:00Z,arelis torres,Femenino,Presencial,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía Pasaporte,Español,0,0,0,2,1 - 3 Years,2018-09-29T00:00:00Z,4,3,5,0,3,3,3,3,3,3,5,3,5,5,5,3.5555555555555554,0,0,0.4,0.4,3.1555555555555554,e0cdd02e-d93c-4b69-87ec-84b4cd038aaf,MDG SESP con enfoque de género,2,2,89,1,TRUE
hilton,ec0023390,2021-11-17T00:00:00Z,pamela veliz,Femenino,Presencial,Venezolana,Femenino,NA,Español,Pasaporte,Español,1,NA,NA,NA,< 1 Year,2020-12-05T00:00:00Z,5,3,5,5,3,1,3,4,3,5,2,1,1,3,2,3.1,0,0.2,0,0.2,2.9,dd6a2a6a-cfd3-4206-88d5-a6c1e01c6578,NA,2,1,0,0.5,TRUE
hilton,ec0023390,2022-06-23T00:00:00Z,arelis torres,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,1,0,1,2,1 – 3 Years,2018-07-24T00:00:00Z,5,3,5,5,0,3,5,4,3,3,5,4,1,5,3,4.111111111111111,0,0,0.4,0.4,3.711111111111111,dbe0b48c-2b98-48ef-8848-61b8f71612d6,NA,2,2,218,1,TRUE
prm,ec0024420,2022-01-31T00:00:00Z,alexandra lopez,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,2,1 - 3 Years,2018-07-13T00:00:00Z,4,3,3,3,5,1,3,4,3,5,3,3,5,5,5,3.6,0.3,0.2,0,0.5,3.1,dcef7051-3102-4c91-b257-ffe630f13787,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0024420,2022-04-29T00:00:00Z,marlene guallasamin,Femenino,Presencial,Venezolana,Femenino,Sí,Español,Visa de excepción (VERHU),Español,1,0,1,1,1 - 3 Years,2018-06-13T00:00:00Z,5,1,3,5,5,1,3,3,3,3,3,1,1,5,3,3.2,0.3,0.2,0.4,0.9,2.3000000000000003,ac4ca00e-d0bc-40d3-a972-12b583450dc6,MDG SESP con enfoque de género,2,2,88,1,TRUE
prm,ec0024874,2022-01-21T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,< 1 Year,2018-06-27T00:00:00Z,4,3,3,5,3,3,3,3,5,5,3,1,1,3,2,3.2,0.3,0,0,0.3,2.9000000000000004,44bea417-ecfb-4aad-ac1b-54a6d3c2c09a,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0024874,2022-04-29T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,< 1 Year,2018-06-29T00:00:00Z,5,5,5,5,3,3,3,4,5,3,5,3,1,5,3,4.1,0,0,0.4,0.4,3.6999999999999997,d114ee00-8314-43a0-b806-734ce8215487,MDG SESP con enfoque de género,2,2,98,1,TRUE
hilton,ec0025736,2021-11-17T00:00:00Z,john ycaza,Masculino,Vía telefónica,Venezolana,Femenino,NA,NA,Cédula de identidad / ciudadanía Visa de excepción (VERHU),NA,0,0,2,2,1 – 3 Years,2019-12-21T00:00:00Z,4,5,5,5,5,3,3,3,3,2,5,1,1,1,1,3.5,0,0,0.6000000000000001,0.6000000000000001,2.9,2f8b851b-9981-4dc5-8510-847feb41035c,NA,2,1,0,0.5,TRUE
hilton,ec0025736,2022-06-24T00:00:00Z,john ycaza,Masculino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,3,< 1 Year,2018-12-21T00:00:00Z,5,5,5,5,3,1,3,4,3,3,5,3,1,5,3,3.9,0,0.2,0.4,0.6000000000000001,3.3,c9f5937e-d5da-45d2-9919-3f0606729c0d,NA,2,2,219,1,TRUE
prm,ec0027327,2022-02-03T00:00:00Z,ivett vanessa ramos bosquez,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,0,1 - 3 Years,2018-12-18T00:00:00Z,4,3,5,1,0,3,3,4,5,3,3,1,1,3,2,2.888888888888889,0,0,0.4,0.4,2.488888888888889,79c677a1-59fd-4ba3-931e-59197d2df5a4,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0027327,2022-04-29T00:00:00Z,vanessa ramos,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,1,3 - 5 Years,2018-12-18T00:00:00Z,5,5,5,1,5,3,5,4,3,2,3,3,5,5,5,3.9,0,0,0.6000000000000001,0.6000000000000001,3.3,6c33b3bf-a934-4b08-adb8-4d6d64f1022d,MDG SESP con enfoque de género,2,2,85,1,TRUE
hilton,ec0028214,2021-12-05T00:00:00Z,pamela veliz,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Ningún documento,Español,5,0,5,2,< 1 Year,2018-07-24T00:00:00Z,5,3,5,5,3,3,5,2,3,5,2,4,1,3,2,3.4,0,0,0,0,3.4,57cba01c-77bb-4d23-83e2-1288b2d8c186,NA,2,1,0,0.5,TRUE
hilton,ec0028214,2022-06-22T00:00:00Z,john ycaza,Masculino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,5,0,5,2,1 – 3 Years,2018-06-24T00:00:00Z,5,3,5,5,5,3,3,5,3,3,3,3,5,5,5,4,0,0,0.4,0.4,3.6,a0e12892-c2ed-419b-bd4d-e8f1c59a5b3b,NA,2,2,199,1,TRUE
prm,ec0031402,2022-02-07T00:00:00Z,bethzabe sanchez,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,11,NA,NA,6,1 - 3 Years,2019-03-09T00:00:00Z,4,1,5,3,5,3,1,2,5,5,3,1,1,5,3,2.8,0,0,0,0,2.8,34c6af4d-dfba-4e06-90e7-d4b3103470f2,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0031402,2022-04-18T00:00:00Z,olga herrera,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,3,1 - 3 Years,2019-03-09T00:00:00Z,5,5,5,5,3,3,3,5,5,3,3,4,5,3,4,4.2,0,0,0.4,0.4,3.8000000000000003,7511a6cb-60da-4695-837d-380184f96500,MDG SESP con enfoque de género,2,2,70,1,TRUE
prm,ec0032593,2022-02-02T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Visa de excepción (VERHU),Español,2,1,3,1,3 - 5 Years,2018-10-29T00:00:00Z,5,1,5,5,3,2,3,2,3,3,3,1,1,1,1,2.7,0,0.1,0.4,0.5,2.2,7a890251-7309-476f-889d-903599735870,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
caminando,ec0032593,2022-04-19T00:00:00Z,katerine alexandra lopez yepez,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,2,1,3,1,1 - 3 Years,2018-10-29T00:00:00Z,5,1,3,5,1,1,3,1,1,5,2,3,5,3,4,2.6,0.3,0.2,0,0.5,2.1,df1e4844-768b-4fef-b97e-b79b8ab7c19c,NA,2,2,76,1,TRUE
prm,ec0036448,2022-02-01T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,2,0,2,2,1 - 3 Years,2018-05-16T00:00:00Z,4,1,3,5,1,3,3,4,5,3,3,1,1,5,3,3,0.3,0,0.4,0.7,2.3,7f5f327f-1499-4e73-a22d-27150e5eaf77,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0036448,2022-05-06T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,2,0,2,3,1 - 3 Years,2018-05-16T00:00:00Z,4,5,5,5,3,3,5,4,3,2,5,3,1,5,3,4,0,0,0.6000000000000001,0.6000000000000001,3.4,1ff83533-0b9b-4aee-99bf-8405f3dabfdf,MDG SESP con enfoque de género,2,2,94,1,TRUE
prm,ec0036693,2022-02-02T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,< 1 Year,2021-11-16T00:00:00Z,2,5,5,5,1,3,3,2,3,3,3,3,5,1,3,3,0,0,0.4,0.4,2.6,d8f0a86c-d4d1-4a9b-b3b2-afffc35fc92c,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0036693,2022-04-19T00:00:00Z,elsa quishpi,Femenino,Presencial,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,< 1 Year,2021-11-26T00:00:00Z,4,5,5,5,1,1,5,4,3,2,3,4,5,3,4,3.8,0,0.2,0.6000000000000001,0.8,3,11ba16bc-3451-4707-9e99-ad7efb42cac5,MDG SESP con enfoque de género,2,2,76,1,TRUE
prm,ec0037580,2022-01-19T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Pasaporte,Español,0,0,0,2,1 - 3 Years,2019-04-07T00:00:00Z,4,3,3,0,3,1,3,2,5,5,5,1,1,1,1,3,0.3,0.2,0,0.5,2.5,25994357-3df0-483a-8fde-9a80db76f0a1,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0037580,2022-04-25T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,0,0,0,2,1 - 3 Years,2019-04-07T00:00:00Z,4,5,5,0,1,3,3,5,3,3,5,4,5,3,4,3.7777777777777777,0,0,0.4,0.4,3.3777777777777778,7b5c5832-15cd-467a-8bed-9c900287f82a,MDG SESP con enfoque de género,2,2,96,1,TRUE
prm,ec0038202,2022-01-19T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,1,< 1 Year,2022-01-19T00:00:00Z,4,5,3,0,3,3,1,5,5,5,3,1,1,3,2,3.2222222222222223,0.3,0,0,0.3,2.9222222222222225,c0721c44-e080-480f-9c31-1a3675aeeeb0,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0038202,2022-04-29T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,1,0,1,1,< 1 Year,2019-05-19T00:00:00Z,5,5,5,5,3,3,3,2,5,3,5,3,1,3,2,3.8,0,0,0.4,0.4,3.4,cf861d71-34fb-407e-8383-6d2649d6c9cc,MDG SESP con enfoque de género,2,2,100,1,TRUE
hilton,ec0039698,2021-12-14T00:00:00Z,patricio jacome,Masculino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,1,1,2,2,< 1 Year,2018-05-12T00:00:00Z,3,0,5,5,5,1,3,3,5,5,3,1,5,3,4,3.5555555555555554,0,0.2,0,0.2,3.355555555555555,a6fccb1f-25f1-4793-8160-7d6a5e6343ae,NA,2,1,0,0.5,TRUE
hilton,ec0039698,2022-04-29T00:00:00Z,mishell yanez,Femenino,Presencial,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,1,NA,1,2,1 – 3 Years,2022-04-29T00:00:00Z,5,5,5,5,0,3,5,4,5,3,5,4,1,1,1,4.333333333333333,0,0,0.4,0.4,3.933333333333333,0ad60781-42c1-4220-b45f-f9a582e8625f,NA,2,2,136,1,TRUE
prm,ec0039801,2022-02-01T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Visa Humanitaria,Español,4,NA,2,NA,1 - 3 Years,2022-02-01T00:00:00Z,5,3,3,1,3,3,3,5,5,5,3,1,1,3,2,3.1,0.3,0,0,0.3,2.8000000000000003,2591220d-c3c2-4dc9-b60a-80df3c612b92,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0039801,2022-05-03T00:00:00Z,marlene guallasamin,Femenino,NA,Colombiana,Femenino,Sí,Español,Visa Humanitaria,Español,4,0,4,2,1 - 3 Years,2019-05-23T00:00:00Z,5,5,5,5,1,3,3,5,3,3,5,3,1,3,2,3.7,0,0,0.4,0.4,3.3000000000000003,e179ccc5-d954-48ad-abd6-6ee493d3c4b7,MDG SESP con enfoque de género,2,2,91,1,TRUE
prm,ec0043930,2022-01-25T00:00:00Z,elsa quishpi,Femenino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,1,4,1,1 - 3 Years,2019-06-22T00:00:00Z,4,3,3,5,3,1,3,4,5,5,3,1,1,1,1,3.2,0.3,0.2,0,0.5,2.7,9b37d983-23a5-4d13-970a-2cfbefd8c427,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0043930,2022-04-18T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,No,Español,Pasaporte,Español,3,1,4,2,1 - 3 Years,2019-06-22T00:00:00Z,5,3,5,5,5,2,5,3,3,2,3,3,5,3,4,3.9,0,0.1,0.6000000000000001,0.7000000000000001,3.1999999999999997,f70b9fc4-6456-4de1-99c8-60c8f099823b,MDG SESP con enfoque de género,2,2,83,1,TRUE
prm,ec0044388,2022-01-31T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Tarjeta de identidad,Español,2,0,2,2,< 1 Year,2022-01-31T00:00:00Z,3,0,5,1,3,2,5,1,3,2,5,1,1,1,1,2.5555555555555554,0,0.1,0.6000000000000001,0.7000000000000001,1.8555555555555552,0b0587f8-756a-4603-934c-dbb06485b9e7,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0044388,2022-05-06T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,< 1 Year,2019-06-26T00:00:00Z,4,5,5,5,3,2,5,2,3,2,3,1,5,5,5,3.6,0,0.1,0.6000000000000001,0.7000000000000001,2.9,b754f0b2-6ea2-42d7-8de1-91fa8f5c1d02,MDG SESP con enfoque de género,2,2,95,1,TRUE
prm,ec0044912,2022-02-08T00:00:00Z,amelia bone,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,4,0,4,1,1 - 3 Years,2019-07-02T00:00:00Z,4,3,5,3,3,3,3,2,5,2,3,1,1,3,2,2.9,0,0,0.6000000000000001,0.6000000000000001,2.3,b6d7fdd5-54a2-4d7e-955d-2d5c05c63981,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0044912,2022-04-22T00:00:00Z,amelia bone,Femenino,Presencial,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,4,0,4,1,1 - 3 Years,2019-07-02T00:00:00Z,5,5,5,1,5,3,3,3,3,2,5,3,5,5,5,3.8,0,0,0.6000000000000001,0.6000000000000001,3.1999999999999997,9fa22697-6540-41ed-a3cc-6634a68294ec,MDG SESP con enfoque de género,2,2,73,1,TRUE
prm,ec0045255,2022-01-17T00:00:00Z,kerly montero,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía Visa de Protección Internacional,Español,0,1,1,1,1 - 3 Years,2022-01-17T00:00:00Z,3,0,3,0,1,3,3,1,1,5,5,1,5,5,5,2.5,0.3,0,0,0.3,2.2,b8364903-7c10-41e1-89d1-8a25b86c385c,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0045255,2022-05-06T00:00:00Z,kerly montero,Femenino,Vía telefónica,Colombiana,Femenino,Sí,Español,Cédula de identidad / ciudadanía Visa de Protección Internacional,Español,0,1,1,1,< 1 Year,2018-10-11T00:00:00Z,5,5,5,0,5,2,5,3,3,2,5,3,5,5,5,4.333333333333333,0,0.1,0.6000000000000001,0.7000000000000001,3.633333333333333,13cacb16-6e43-4d14-92d3-720a11ba2569,MDG SESP con enfoque de género,2,2,109,1,TRUE
prm,ec0045694,2022-02-03T00:00:00Z,olga herrera,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,1 - 3 Years,2019-07-08T00:00:00Z,4,1,5,3,3,1,3,2,5,3,2,1,5,3,4,2.8,0,0.2,0.4,0.6000000000000001,2.1999999999999997,2b5592c0-7ab2-431f-a222-f95a34519cdc,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0045694,2022-04-18T00:00:00Z,olga herrera,Femenino,Presencial,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,1 - 3 Years,2019-07-08T00:00:00Z,5,5,5,5,3,1,3,5,5,3,5,3,5,5,5,4.4,0,0.2,0.4,0.6000000000000001,3.8000000000000003,d653b545-45df-419c-af36-9c98466d4f8f,MDG SESP con enfoque de género,2,2,74,1,TRUE
prm,ec0047071,2022-02-23T00:00:00Z,amelia bone,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,1,1 - 3 Years,2019-06-21T00:00:00Z,4,1,5,5,3,3,5,2,3,3,2,1,1,3,2,2.8,0,0,0.4,0.4,2.4,348af80c-ff9f-4aaa-9c1a-67a73373603f,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0047071,2022-05-19T00:00:00Z,amelia bone,Femenino,Presencial,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,3,0,3,1,1 - 3 Years,2019-06-21T00:00:00Z,4,5,5,1,3,3,3,3,3,2,5,3,1,5,3,3.3,0,0,0.6000000000000001,0.6000000000000001,2.6999999999999997,51d542ac-3a63-4680-9d5d-0b0b4804ad47,MDG SESP con enfoque de género,2,2,85,1,TRUE
prm,ec0047632,2022-02-14T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Visa de excepción (VERHU),Español,2,0,2,3,1 - 3 Years,2018-08-15T00:00:00Z,4,3,2,5,3,1,5,1,5,5,3,1,1,5,3,3.3,0.44999999999999996,0.2,0,0.6499999999999999,2.65,8e149614-5bcb-40a4-b290-3040fba70514,MDG Regular,2,1,0,0.5,TRUE
prm,ec0047632,2022-05-06T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,3,1 - 3 Years,2018-08-15T00:00:00Z,5,5,5,5,3,2,5,4,3,2,3,4,5,5,5,4.2,0,0.1,0.6000000000000001,0.7000000000000001,3.5,636a9f1f-a281-4822-996f-19430e46ba25,MDG Regular,2,2,81,1,TRUE
