project,codigo,fecha_encuesta,nombre_del_evaluador,genero_del_evaluador,interview_modality,nacionalidad,gender,follow_up,hh_language,document,interview_language,children,seniors,dependents,adults,time_in_country,date_of_arrival,d1a_housing_score,d1b_rent_score,d2_food_score,d3_education_score,d4_healthcare_score,d5_health_status_score,d6_safety_score,d7_employment_score,d8_fin_resources_score,d9_assistance_score,d10_debt_score,d11_savings_score,d12a_fin_soc_cap_score,d12b_rel_soc_cap_score,d12_average_score,group_a_total_score,d2_weighted_score,d5_weighted_score,d9_weighted_score,group_b_total_score,hh_sri_total_score,uuid,program_type,count,position,days_since_pre,measure_prop,in_program,fecha_post,sri_post,time_period,sri_change
prm,ec0024420,2022-01-31T00:00:00Z,alexandra lopez,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,2,1 - 3 Years,2018-07-13T00:00:00Z,4,3,3,3,5,1,3,4,3,5,3,3,5,5,5,3.6,0.3,0.2,0,0.5,3.1,dcef7051-3102-4c91-b257-ffe630f13787,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,2.3000000000000003,88,-0.7999999999999998
prm,ec0024874,2022-01-21T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,< 1 Year,2018-06-27T00:00:00Z,4,3,3,5,3,3,3,3,5,5,3,1,1,3,2,3.2,0.3,0,0,0.3,2.9000000000000004,44bea417-ecfb-4aad-ac1b-54a6d3c2c09a,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,3.6999999999999997,98,0.7999999999999994
hilton,ec0025736,2021-11-17T00:00:00Z,john ycaza,Masculino,Vía telefónica,Venezolana,Femenino,NA,NA,Cédula de identidad / ciudadanía Visa de excepción (VERHU),NA,0,0,2,2,1 – 3 Years,2019-12-21T00:00:00Z,4,5,5,5,5,3,3,3,3,2,5,1,1,1,1,3.5,0,0,0.6000000000000001,0.6000000000000001,2.9,2f8b851b-9981-4dc5-8510-847feb41035c,NA,2,1,0,0.5,TRUE,2022-06-24T00:00:00Z,3.3,219,0.3999999999999999
prm,ec0027327,2022-02-03T00:00:00Z,ivett vanessa ramos bosquez,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,0,1 - 3 Years,2018-12-18T00:00:00Z,4,3,5,1,0,3,3,4,5,3,3,1,1,3,2,2.888888888888889,0,0,0.4,0.4,2.488888888888889,79c677a1-59fd-4ba3-931e-59197d2df5a4,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,3.3,85,0.8111111111111109
hilton,ec0028214,2021-12-05T00:00:00Z,pamela veliz,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Ningún documento,Español,5,0,5,2,< 1 Year,2018-07-24T00:00:00Z,5,3,5,5,3,3,5,2,3,5,2,4,1,3,2,3.4,0,0,0,0,3.4,57cba01c-77bb-4d23-83e2-1288b2d8c186,NA,2,1,0,0.5,TRUE,2022-06-22T00:00:00Z,3.6,199,0.20000000000000018
prm,ec0031402,2022-02-07T00:00:00Z,bethzabe sanchez,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,11,NA,NA,6,1 - 3 Years,2019-03-09T00:00:00Z,4,1,5,3,5,3,1,2,5,5,3,1,1,5,3,2.8,0,0,0,0,2.8,34c6af4d-dfba-4e06-90e7-d4b3103470f2,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-18T00:00:00Z,3.8000000000000003,70,1.0000000000000004
prm,ec0032593,2022-02-02T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Visa de excepción (VERHU),Español,2,1,3,1,3 - 5 Years,2018-10-29T00:00:00Z,5,1,5,5,3,2,3,2,3,3,3,1,1,1,1,2.7,0,0.1,0.4,0.5,2.2,7a890251-7309-476f-889d-903599735870,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-19T00:00:00Z,2.1,76,-0.10000000000000009
prm,ec0036448,2022-02-01T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,2,0,2,2,1 - 3 Years,2018-05-16T00:00:00Z,4,1,3,5,1,3,3,4,5,3,3,1,1,5,3,3,0.3,0,0.4,0.7,2.3,7f5f327f-1499-4e73-a22d-27150e5eaf77,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,3.4,94,1.1
prm,ec0036693,2022-02-02T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,< 1 Year,2021-11-16T00:00:00Z,2,5,5,5,1,3,3,2,3,3,3,3,5,1,3,3,0,0,0.4,0.4,2.6,d8f0a86c-d4d1-4a9b-b3b2-afffc35fc92c,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-19T00:00:00Z,3,76,0.3999999999999999
prm,ec0037580,2022-01-19T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Pasaporte,Español,0,0,0,2,1 - 3 Years,2019-04-07T00:00:00Z,4,3,3,0,3,1,3,2,5,5,5,1,1,1,1,3,0.3,0.2,0,0.5,2.5,25994357-3df0-483a-8fde-9a80db76f0a1,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-25T00:00:00Z,3.3777777777777778,96,0.8777777777777778
prm,ec0038202,2022-01-19T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,1,< 1 Year,2022-01-19T00:00:00Z,4,5,3,0,3,3,1,5,5,5,3,1,1,3,2,3.2222222222222223,0.3,0,0,0.3,2.9222222222222225,c0721c44-e080-480f-9c31-1a3675aeeeb0,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,3.4,100,0.4777777777777774
hilton,ec0039698,2021-12-14T00:00:00Z,patricio jacome,Masculino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,1,1,2,2,< 1 Year,2018-05-12T00:00:00Z,3,0,5,5,5,1,3,3,5,5,3,1,5,3,4,3.5555555555555554,0,0.2,0,0.2,3.355555555555555,a6fccb1f-25f1-4793-8160-7d6a5e6343ae,NA,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,3.933333333333333,136,0.577777777777778
prm,ec0039801,2022-02-01T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Visa Humanitaria,Español,4,NA,2,NA,1 - 3 Years,2022-02-01T00:00:00Z,5,3,3,1,3,3,3,5,5,5,3,1,1,3,2,3.1,0.3,0,0,0.3,2.8000000000000003,2591220d-c3c2-4dc9-b60a-80df3c612b92,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-03T00:00:00Z,3.3000000000000003,91,0.5
prm,ec0043930,2022-01-25T00:00:00Z,elsa quishpi,Femenino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,1,4,1,1 - 3 Years,2019-06-22T00:00:00Z,4,3,3,5,3,1,3,4,5,5,3,1,1,1,1,3.2,0.3,0.2,0,0.5,2.7,9b37d983-23a5-4d13-970a-2cfbefd8c427,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-18T00:00:00Z,3.1999999999999997,83,0.49999999999999956
prm,ec0044388,2022-01-31T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Tarjeta de identidad,Español,2,0,2,2,< 1 Year,2022-01-31T00:00:00Z,3,0,5,1,3,2,5,1,3,2,5,1,1,1,1,2.5555555555555554,0,0.1,0.6000000000000001,0.7000000000000001,1.8555555555555552,0b0587f8-756a-4603-934c-dbb06485b9e7,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,2.9,95,1.0444444444444447
prm,ec0044912,2022-02-08T00:00:00Z,amelia bone,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,4,0,4,1,1 - 3 Years,2019-07-02T00:00:00Z,4,3,5,3,3,3,3,2,5,2,3,1,1,3,2,2.9,0,0,0.6000000000000001,0.6000000000000001,2.3,b6d7fdd5-54a2-4d7e-955d-2d5c05c63981,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-22T00:00:00Z,3.1999999999999997,73,0.8999999999999999
prm,ec0045255,2022-01-17T00:00:00Z,kerly montero,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía Visa de Protección Internacional,Español,0,1,1,1,1 - 3 Years,2022-01-17T00:00:00Z,3,0,3,0,1,3,3,1,1,5,5,1,5,5,5,2.5,0.3,0,0,0.3,2.2,b8364903-7c10-41e1-89d1-8a25b86c385c,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,3.633333333333333,109,1.4333333333333327
prm,ec0045694,2022-02-03T00:00:00Z,olga herrera,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,1 - 3 Years,2019-07-08T00:00:00Z,4,1,5,3,3,1,3,2,5,3,2,1,5,3,4,2.8,0,0.2,0.4,0.6000000000000001,2.1999999999999997,2b5592c0-7ab2-431f-a222-f95a34519cdc,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-18T00:00:00Z,3.8000000000000003,74,1.6000000000000005
prm,ec0047071,2022-02-23T00:00:00Z,amelia bone,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,1,1 - 3 Years,2019-06-21T00:00:00Z,4,1,5,5,3,3,5,2,3,3,2,1,1,3,2,2.8,0,0,0.4,0.4,2.4,348af80c-ff9f-4aaa-9c1a-67a73373603f,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-19T00:00:00Z,2.6999999999999997,85,0.2999999999999998
prm,ec0047632,2022-02-14T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Visa de excepción (VERHU),Español,2,0,2,3,1 - 3 Years,2018-08-15T00:00:00Z,4,3,2,5,3,1,5,1,5,5,3,1,1,5,3,3.3,0.44999999999999996,0.2,0,0.6499999999999999,2.65,8e149614-5bcb-40a4-b290-3040fba70514,MDG Regular,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,3.5,81,0.8500000000000001
prm,ec0047837,2022-02-11T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,2,0,2,1,1 - 3 Years,2018-10-20T00:00:00Z,5,3,5,5,3,3,1,1,1,5,3,1,5,1,3,2.6,0,0,0,0,2.6,fb1e42ad-6206-4db8-9669-e030e32a367e,MDG Regular,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,3.6,84,1
prm,ec0047911,2022-02-01T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Visa Humanitaria,Español,5,0,5,2,1 - 3 Years,2019-07-18T00:00:00Z,4,1,5,5,3,2,3,1,5,3,3,1,1,1,1,2.7,0,0.1,0.4,0.5,2.2,ef06f29e-4772-4b24-9825-27834193cbe1,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,3.8000000000000003,94,1.6
hilton,ec0048076,2021-11-16T00:00:00Z,john ycaza,Masculino,Presencial,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,1,2,3,1 – 3 Years,2018-09-19T00:00:00Z,3,0,5,0,1,1,3,2,5,5,3,1,5,3,4,2.75,0,0.2,0,0.2,2.55,8096e2ef-7696-4973-8014-b1ffe389c257,NA,2,1,0,0.5,TRUE,2022-06-16T00:00:00Z,3.6111111111111107,212,1.061111111111111
prm,ec0048210,2022-01-25T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,1,4,2,1 - 3 Years,2018-08-15T00:00:00Z,4,3,5,5,3,3,3,1,3,3,3,1,1,5,3,2.9,0,0,0.4,0.4,2.5,f18c4195-9182-456a-92a5-6874fadc9259,MDG Regular,2,1,0,0.5,TRUE,2022-05-05T00:00:00Z,3.7,100,1.2000000000000002
prm,ec0048287,2022-01-19T00:00:00Z,amelia bone,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,1,1 - 3 Years,2018-09-08T00:00:00Z,4,3,5,5,3,3,3,2,5,2,5,3,1,3,2,3.5,0,0,0.6000000000000001,0.6000000000000001,2.9,f0e69707-fe14-46f6-b841-c30099395ffb,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-13T00:00:00Z,3.4,84,0.5
prm,ec0051472,2022-01-17T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,3,< 1 Year,2019-08-12T00:00:00Z,4,3,3,0,3,2,3,3,5,3,3,3,1,3,2,3.2222222222222223,0.3,0.1,0.4,0.8,2.4222222222222225,c0d5b241-3bd4-4273-bd81-9a43f475662d,NA,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,4.044444444444444,102,1.6222222222222218
prm,ec0051778,2022-02-02T00:00:00Z,jetzabeth molina,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,4,0,4,1,1 - 3 Years,2019-08-01T00:00:00Z,4,3,5,5,3,3,5,2,3,2,3,1,5,5,5,3.4,0,0,0.6000000000000001,0.6000000000000001,2.8,d19ba2fd-765a-4b87-8235-c6878ed4b31d,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-12T00:00:00Z,3.6999999999999997,69,0.8999999999999999
prm,ec0053600,2022-02-04T00:00:00Z,amelia bone,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,6,0,6,2,1 - 3 Years,2019-08-25T00:00:00Z,4,1,5,5,5,3,5,3,3,3,3,1,1,3,2,3.2,0,0,0.4,0.4,2.8000000000000003,52dcd522-6dd8-4706-97ce-3e960a2e6fd0,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-22T00:00:00Z,3,77,0.19999999999999973
prm,ec0056072,2022-01-28T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,5,0,5,2,1 - 3 Years,NA,5,1,3,5,1,3,3,4,1,5,3,1,5,3,4,2.8,0.3,0,0,0.3,2.5,bce40117-cd00-466d-9d65-6b67dd951df8,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,3.9,91,1.4
prm,ec0056577,2022-02-04T00:00:00Z,amelia bone,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,1,3,1,1 - 3 Years,2019-08-22T00:00:00Z,4,1,5,5,3,3,5,3,3,3,3,1,1,3,2,3,0,0,0.4,0.4,2.6,a3de3323-0fc7-48ab-ab84-3e07f5553bec,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-20T00:00:00Z,3.1999999999999997,75,0.5999999999999996
prm,ec0057805,2022-02-03T00:00:00Z,olga herrera,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,1 - 3 Years,2019-08-13T00:00:00Z,4,1,5,3,3,3,3,2,5,5,3,1,5,3,4,2.9,0,0,0,0,2.9,b4fc61da-6507-4e23-a6b6-ab11497e3d76,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-18T00:00:00Z,3.9,74,1
prm,ec0058068,2022-02-03T00:00:00Z,gabriela soto,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,1,3,3,1 - 3 Years,2019-08-22T00:00:00Z,4,1,5,3,3,3,5,3,3,5,2,1,1,5,3,2.8,0,0,0,0,2.8,de6e9ef4-7e59-47a3-9f7f-fc8c5b90ddee,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-13T00:00:00Z,4,69,1.2000000000000002
prm,ec0061886,2022-02-22T00:00:00Z,amelia bone,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,4,0,4,1,1 - 3 Years,2019-09-16T00:00:00Z,4,3,5,5,3,3,5,2,1,5,2,1,1,3,2,2.8,0,0,0,0,2.8,fe63b134-9c2b-468a-873d-5d66648d9387,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-19T00:00:00Z,3.9,56,1.1
prm,ec0061969,2022-01-28T00:00:00Z,kerly montero,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,1,1 - 3 Years,2019-08-03T00:00:00Z,5,3,2,5,1,3,3,1,3,5,3,3,1,1,1,2.8,0.44999999999999996,0,0,0.44999999999999996,2.3499999999999996,c610bdc9-bf58-4c89-8510-2925b2282b4c,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-06T00:00:00Z,3.4999999999999996,98,1.15
prm,ec0062027,2022-02-01T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Visa de excepción (VERHU),Español,1,NA,NA,2,1 - 3 Years,2018-03-25T00:00:00Z,2,1,2,5,5,1,3,2,3,5,5,1,1,3,2,2.9,0.44999999999999996,0.2,0,0.6499999999999999,2.25,4301a76e-4408-4143-a0cb-8f1d0922af49,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-05T00:00:00Z,2.9555555555555553,93,0.7055555555555553
prm,ec0062121,2022-01-26T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,4,0,4,1,< 1 Year,2021-04-01T00:00:00Z,4,3,5,1,3,3,3,3,5,3,3,1,1,3,2,2.8,0,0,0.4,0.4,2.4,25a64f03-1b3f-4ea9-b817-d62731f6e9ef,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-27T00:00:00Z,2.9,91,0.5
prm,ec0065553,2022-02-04T00:00:00Z,olga herrera,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,4,0,4,1,1 - 3 Years,2019-06-16T00:00:00Z,4,1,5,3,3,3,3,2,5,5,2,1,5,3,4,2.8,0,0,0,0,2.8,fde00220-f3aa-4c86-a4c9-c4d77f76e3f5,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-18T00:00:00Z,3.1,73,0.30000000000000027
prm,ec0068331,2022-02-04T00:00:00Z,amelia bone,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Otro / No aplica,Español,2,0,2,1,1 - 3 Years,2019-12-02T00:00:00Z,4,5,5,1,5,3,5,3,5,3,5,1,1,3,2,3.6,0,0,0.4,0.4,3.2,15267618-9f8c-4eb2-9290-c4cbc82b46f8,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-22T00:00:00Z,2.45,77,-0.75
prm,ec0070571,2022-02-03T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,2,1 - 3 Years,2020-01-07T00:00:00Z,3,0,3,5,3,1,3,2,3,5,5,1,5,1,3,3.111111111111111,0.3,0.2,0,0.5,2.611111111111111,b9114036-ea9b-499e-b990-015a32ebd969,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-21T00:00:00Z,2.977777777777778,77,0.3666666666666667
prm,ec0071172,2022-02-03T00:00:00Z,olga herrera,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,NA,3,0,3,1,1 - 3 Years,2020-01-24T00:00:00Z,4,1,5,5,3,3,3,2,5,5,3,1,1,3,2,2.9,0,0,0,0,2.9,debce8af-eaef-4f6b-a2ec-5473618c250b,MDG Regular,2,1,0,0.5,TRUE,2022-04-18T00:00:00Z,3.5,74,0.6000000000000001
hilton,ec0074066,2022-01-18T00:00:00Z,mishell yanez,Femenino,Vía telefónica,Venezolana,Otro,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,NA,NA,NA,NA,1 – 3 Years,2019-12-02T00:00:00Z,4,1,5,0,3,3,5,1,1,5,2,3,1,1,1,2.3333333333333335,0,0,0,0,2.3333333333333335,5975df80-c815-4838-8918-0656edaea00e,NA,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,3.488888888888889,101,1.1555555555555554
prm,ec0074082,2022-01-20T00:00:00Z,kerly montero,Femenino,Presencial,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,0,0,0,2,1 - 3 Years,2020-01-12T00:00:00Z,4,3,3,0,1,1,3,1,3,5,2,1,1,5,3,2.3333333333333335,0.3,0.2,0,0.5,1.8333333333333335,6873d3a9-01ea-43f1-9cbf-d02efa0354f3,MDG Regular,2,1,0,0.5,TRUE,2022-05-05T00:00:00Z,3.4,105,1.5666666666666664
